active_cases,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,deaths,last_updated_cases,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,subnotification_rate,trust_classification,data_last_refreshed
3861.0,163.0,,BR,Brasil,14.0,estabilizando,1,0.24564578882166507,1.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.001395714709214006,0.04144144144144144,,7164788,,,,,0,SC,Santa Catarina,0.9585585585585585,3.0,2021-01-20 09:14:52
1725.0,197.0,,BR,Brasil,7.0,estabilizando,1,0.1933685316797863,2.0,2020-03-27,,2020-03-27,1.0,estabilizando,0.0026368436138152675,0.1118840579710145,,11377239,,,,,0,RS,Rio Grande do Sul,0.8881159420289855,3.0,2021-01-20 09:14:52
28.0,28.0,,BR,Brasil,3.0,estabilizando,13,0.08276400097013802,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,1.0,,2778986,,,,,0,MS,Mato Grosso do Sul,0.0,0.0,2021-01-20 09:14:52
11.0,11.0,,BR,Brasil,0.0,estabilizando,7,0.040178322876446494,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,1.0,,3484466,,,,,0,MT,Mato Grosso,0.0,0.0,2021-01-20 09:14:52
2430.0,49.0,,BR,Brasil,11.0,estabilizando,15,0.06269276243404082,1.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.001424835509864564,0.018930041152263377,,7018354,,,,,0,GO,Goiás,0.9810699588477366,3.0,2021-01-20 09:14:52
2595.0,241.0,,BR,Brasil,40.0,estabilizando,2,0.7296200536735044,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.09210019267822736,,3015268,,,,,0,DF,Distrito Federal,0.9078998073217727,3.0,2021-01-20 09:14:52
,6.0,,BR,Brasil,0.0,estabilizando,8,0.02250699826977451,0.0,2020-03-28,,,0.0,estabilizando,0.0,,,1777225,,,,,0,RO,Rondônia,,,2021-01-20 09:14:52
25.0,25.0,,BR,Brasil,0.0,estabilizando,11,0.22677408199016935,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,1.0,,881935,,,,,0,AC,Acre,0.0,0.0,2021-01-20 09:14:52
32460.0,111.0,,BR,Brasil,30.0,crescendo,5,0.34502751413466737,1.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.002412779819123548,0.0033579790511398646,,4144597,,,,,1,AM,Amazonas,0.9966420209488601,3.0,2021-01-20 09:14:52
16.0,16.0,,BR,Brasil,4.0,estabilizando,7,0.3301632161859215,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,1.0,,605761,,,,,0,RR,Roraima,0.0,0.0,2021-01-20 09:14:52
145.0,18.0,,BR,Brasil,2.0,estabilizando,10,0.026735279467944687,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.1238341968911917,,8602865,,,,,0,PA,Pará,0.8761658031088083,3.0,2021-01-20 09:14:52
4.0,4.0,,BR,Brasil,1.0,estabilizando,8,0.04729636255499681,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,1.0,,845731,,,,,0,AP,Amapá,0.0,0.0,2021-01-20 09:14:52
9.0,9.0,,BR,Brasil,0.0,estabilizando,10,0.06357820691654598,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,1.0,,1572866,,,,,0,TO,Tocantins,0.0,0.0,2021-01-20 09:14:52
40.0,15.0,,BR,Brasil,2.0,estabilizando,8,0.026854436656814855,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.37212360289283364,,7075181,,,,,0,MA,Maranhão,0.6278763971071664,2.0,2021-01-20 09:14:52
11.0,11.0,,BR,Brasil,1.0,estabilizando,9,0.03055089060428745,1.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0030550890604287453,1.0,,3273227,,,,,0,PI,Piauí,0.0,0.0,2021-01-20 09:14:52
3748.0,322.0,,BR,Brasil,40.0,crescendo,2,0.3723139465081223,4.0,2020-03-28,,2020-03-28,1.0,estabilizando,0.006570246114849216,0.0859236795552186,,9132078,,,,,1,CE,Ceará,0.9140763204447814,3.0,2021-01-20 09:14:52
3240.0,68.0,,BR,Brasil,40.0,estabilizando,16,0.23953099830531818,1.0,2020-03-28,,2020-03-28,1.0,estabilizando,0.0028515595036347403,0.020679012345679013,,3506853,,,,,0,RN,Rio Grande do Norte,0.979320987654321,3.0,2021-01-20 09:14:52
3690.0,14.0,,BR,Brasil,4.0,crescendo,2,0.047285712970247085,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.003794037940379404,,4018127,,,,,1,PB,Paraíba,0.9962059620596206,3.0,2021-01-20 09:14:52
22320.0,68.0,,BR,Brasil,11.0,estabilizando,16,0.05231728423907282,5.0,2020-03-28,,2020-03-28,1.0,estabilizando,0.007324419793470195,0.0027329192546583854,,9557071,,,,,0,PE,Pernambuco,0.9972670807453416,3.0,2021-01-20 09:14:52
735.0,14.0,,BR,Brasil,2.0,estabilizando,20,0.0299638306600103,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.017687074829931974,,3337357,,,,,0,AL,Alagoas,0.9823129251700681,3.0,2021-01-20 09:14:52
675.0,16.0,,BR,Brasil,0.0,estabilizando,14,0.039152632623017575,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.022222222222222223,,2298696,,,,,0,SE,Sergipe,0.9777777777777777,3.0,2021-01-20 09:14:52
4965.0,127.0,,BR,Brasil,4.0,estabilizando,9,0.08269983911855688,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.02416918429003021,,14873064,,,,,0,BA,Bahia,0.9758308157099698,3.0,2021-01-20 09:14:52
3891.0,205.0,,BR,Brasil,16.0,estabilizando,5,0.10109221636700934,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.05165394402035623,,21168791,,,,,0,MG,Minas Gerais,0.9483460559796437,3.0,2021-01-20 09:14:52
3927.0,61.0,,BR,Brasil,7.0,estabilizando,23,0.12441989225237331,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.014514145141451414,,4018650,,,,,0,ES,Espírito Santo,0.9854858548585486,3.0,2021-01-20 09:14:52
33630.0,558.0,,BR,Brasil,65.0,crescendo,4,0.36316366639611847,13.0,2020-03-28,,2020-03-28,3.0,estabilizando,0.00810891759098191,0.016146297948260484,,17264943,,,,,1,RJ,Rio de Janeiro,0.9838537020517395,3.0,2021-01-20 09:14:52
91849.0,1406.0,3.0,BR,Brasil,183.0,estabilizando,8,0.31424866834676823,84.0,2020-03-28,2020-03-18,2020-03-28,16.0,crescendo,0.021559679948946676,0.014600107353730542,3.0,45919049,4.15,1.44,2.84,estabilizando,0,SP,São Paulo,0.9853998926462695,3.0,2021-01-20 09:14:52
5490.0,137.0,,BR,Brasil,12.0,estabilizando,3,0.11719477342795676,2.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.002623763584207987,0.023861566484517302,,11433957,,,,,0,PR,Paraná,0.9761384335154827,3.0,2021-01-20 09:14:52
3976.0,184.0,,BR,Brasil,21.0,estabilizando,2,0.2526243623677351,1.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.001395714709214006,0.045024875621890545,,7164788,,,,,0,SC,Santa Catarina,0.9549751243781095,3.0,2021-01-20 09:14:52
1830.0,200.0,,BR,Brasil,3.0,estabilizando,2,0.16436325192781834,2.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0026368436138152675,0.10710382513661201,,11377239,,,,,0,RS,Rio Grande do Sul,0.892896174863388,3.0,2021-01-20 09:14:52
603.0,31.0,,BR,Brasil,3.0,estabilizando,14,0.07556713132056081,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.048062015503875975,,2778986,,,,,0,MS,Mato Grosso do Sul,0.951937984496124,3.0,2021-01-20 09:14:52
11.0,11.0,,BR,Brasil,0.0,estabilizando,8,0.040178322876446494,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,1.0,,3484466,,,,,0,MT,Mato Grosso,0.0,0.0,2021-01-20 09:14:52
2590.0,56.0,,BR,Brasil,7.0,estabilizando,16,0.07551628202282187,1.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.001424835509864564,0.020075757575757577,,7018354,,,,,0,GO,Goiás,0.9799242424242425,3.0,2021-01-20 09:14:52
2916.0,260.0,,BR,Brasil,19.0,estabilizando,3,0.7196706893052293,0.0,2020-03-28,,2020-03-28,0.0,estabilizando,0.0,0.0864321608040201,,3015268,,,,,0,DF,Distrito Federal,0.91356783919598,3.0,2021-01-20 09:14:52
